epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,5.7729,0.2475,4.6087,0.2755,0.2741
1,head,4.6148,0.2865,3.8934,0.3548,0.3528
2,head,3.9072,0.3235,3.5728,0.3266,0.3273
3,full,2.1639,0.4669,1.1747,0.5645,0.5587
4,full,0.8481,0.6802,0.7458,0.7056,0.7066
5,full,0.5052,0.8137,0.7367,0.7594,0.7539
6,full,0.3281,0.8839,0.5291,0.8051,0.8063
7,full,0.2526,0.9107,0.7353,0.7702,0.7633
8,full,0.1873,0.9351,0.6443,0.8226,0.8218
9,full,0.1580,0.9488,0.5019,0.8562,0.8566
10,full,0.1363,0.9531,0.4904,0.8414,0.8434
11,full,0.1206,0.9570,0.5498,0.8522,0.8539
12,full,0.1015,0.9644,0.5529,0.8401,0.8407
13,full,0.0886,0.9724,0.4970,0.8629,0.8629
14,full,0.0874,0.9775,0.6326,0.8293,0.8305
15,full,0.0869,0.9698,0.6013,0.8468,0.8460
16,full,0.0790,0.9721,0.5889,0.8427,0.8418
17,full,0.0664,0.9761,0.6001,0.8508,0.8508
18,full,0.0591,0.9787,0.5867,0.8629,0.8637
19,full,0.0633,0.9789,0.6363,0.8387,0.8381
20,full,0.0529,0.9829,0.7414,0.8548,0.8583
21,full,0.0504,0.9855,0.6067,0.8669,0.8667
22,full,0.0535,0.9821,0.5989,0.8629,0.8636
23,full,0.0523,0.9807,0.6219,0.8696,0.8693
24,full,0.0431,0.9852,0.6974,0.8468,0.8458
25,full,0.0531,0.9832,0.6348,0.8562,0.8571
26,full,0.0340,0.9883,0.6772,0.8669,0.8674
27,full,0.0435,0.9855,0.6600,0.8616,0.8615
28,full,0.0368,0.9892,0.6119,0.8844,0.8840
29,full,0.0398,0.9863,0.5150,0.8871,0.8872
