epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,2.8909,0.2242,2.7324,0.2742,0.2707
1,head,2.3542,0.2845,2.3829,0.2970,0.2974
2,head,2.0434,0.3292,2.1977,0.3172,0.3176
3,full,1.7157,0.4111,1.3634,0.4785,0.4661
4,full,1.2045,0.5542,1.3001,0.5040,0.4918
5,full,0.9229,0.6637,1.0229,0.6089,0.6108
6,full,0.7368,0.7226,0.9273,0.6532,0.6493
7,full,0.6294,0.7758,0.9073,0.7003,0.6947
8,full,0.5445,0.7974,0.7685,0.7406,0.7447
9,full,0.4741,0.8307,0.7680,0.7487,0.7438
10,full,0.4254,0.8444,0.7894,0.7554,0.7517
11,full,0.3615,0.8760,0.7363,0.7621,0.7606
12,full,0.3125,0.8839,0.7985,0.7554,0.7591
13,full,0.2878,0.8953,0.8572,0.7500,0.7469
14,full,0.2550,0.9070,0.8842,0.7446,0.7417
15,full,0.2406,0.9138,0.6934,0.7917,0.7923
16,full,0.2098,0.9252,0.7657,0.7782,0.7802
17,full,0.1983,0.9260,0.7664,0.7796,0.7802
18,full,0.2003,0.9289,1.0041,0.7527,0.7488
19,full,0.1849,0.9357,0.7633,0.7997,0.8006
20,full,0.1778,0.9346,0.6764,0.8159,0.8171
21,full,0.1515,0.9474,0.9482,0.7567,0.7557
22,full,0.1475,0.9445,0.7430,0.7944,0.7948
23,full,0.1412,0.9499,0.8059,0.8038,0.8025
24,full,0.1452,0.9465,0.9574,0.7715,0.7707
25,full,0.1362,0.9565,0.8434,0.7890,0.7879
26,full,0.1165,0.9585,0.8396,0.7782,0.7800
