model,preprocess,test_accuracy,macro_f1,macro_precision,macro_recall,best_val_macro_f1,seed,epochs_run,train_seconds
resnet50,D3n,0.8218623481781376,0.8208990974598616,0.8225330658997791,0.8222059192593347,0.8240536723163843,42,30,2522.7
resnet50,D4n,0.8421052631578947,0.8433514479951203,0.8469331653080328,0.8422668462339328,0.825093922756194,42,30,2344.0
efficientnetv2s,D3n,0.8798920377867746,0.8797913016136649,0.8830236510073878,0.8801900365015193,0.8779109766063407,42,29,2445.7
efficientnetv2s,D4n,0.8960863697705803,0.8961234026758065,0.898020440206629,0.8961595133793351,0.8672353281251496,42,26,2181.2
mobilenetv3small,D3n,0.8043184885290149,0.8051689476128295,0.8099492093973261,0.8046096524031616,0.8005133507086144,42,30,2067.7
mobilenetv3small,D4n,0.8110661268556005,0.8101920502725545,0.8126008771661611,0.8113297585532576,0.7943943840233477,42,22,1520.7
swint,D3n,0.8623481781376519,0.8658534114971517,0.8763891157759899,0.8624188406481317,0.8357880837920012,42,25,2000.3
swint,D4n,0.8798920377867746,0.8795054495403243,0.8793198586277778,0.8801704066850707,0.852468239666751,42,30,2410.4
