epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,1.5373,0.3144,1.4185,0.4019,0.3935
1,head,1.4085,0.4142,1.3766,0.4247,0.4259
2,head,1.3631,0.4370,1.3423,0.4503,0.4436
3,full,1.2301,0.5016,0.8816,0.6613,0.6620
4,full,0.6608,0.7482,0.6864,0.7487,0.7517
5,full,0.3676,0.8714,0.8084,0.7379,0.7358
6,full,0.2301,0.9215,0.8086,0.7527,0.7554
7,full,0.1556,0.9459,0.8861,0.7406,0.7489
8,full,0.1321,0.9528,0.7353,0.7930,0.7926
9,full,0.1179,0.9587,1.0154,0.7446,0.7427
10,full,0.0993,0.9630,1.0510,0.7863,0.7854
11,full,0.0959,0.9661,1.0115,0.7688,0.7679
12,full,0.0927,0.9713,1.0178,0.7769,0.7764
13,full,0.0790,0.9738,0.8895,0.7876,0.7888
14,full,0.0573,0.9792,1.0976,0.7500,0.7536
