epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,2.9125,0.2284,2.7858,0.2379,0.2322
1,head,2.3370,0.2825,2.3967,0.2594,0.2588
2,head,2.0644,0.3269,2.1814,0.2957,0.2917
3,full,1.6998,0.3929,1.4856,0.4462,0.4471
4,full,1.1615,0.5639,1.1000,0.5712,0.5604
5,full,0.8877,0.6711,0.9772,0.6344,0.6426
6,full,0.7000,0.7383,1.0122,0.6546,0.6510
7,full,0.5795,0.7875,1.0768,0.6438,0.6353
8,full,0.4923,0.8128,0.8820,0.6841,0.6962
9,full,0.4188,0.8455,0.7738,0.7608,0.7607
10,full,0.3918,0.8538,1.1958,0.6344,0.6102
11,full,0.3230,0.8865,0.8418,0.7433,0.7509
12,full,0.3052,0.8942,1.0655,0.7056,0.7004
13,full,0.2702,0.9007,1.0106,0.7151,0.7112
14,full,0.2459,0.9132,1.3606,0.6694,0.6560
15,full,0.2140,0.9255,0.7272,0.8011,0.7987
16,full,0.2189,0.9195,0.9513,0.7460,0.7445
17,full,0.1889,0.9326,0.8609,0.7648,0.7655
18,full,0.1857,0.9366,0.7974,0.7970,0.7974
19,full,0.1605,0.9417,0.8816,0.7755,0.7730
20,full,0.1698,0.9417,0.7947,0.7890,0.7870
21,full,0.1465,0.9482,0.7754,0.7917,0.7910
