epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,1.5692,0.2982,1.5250,0.3750,0.3330
1,head,1.4795,0.3929,1.4741,0.3898,0.3757
2,head,1.4207,0.4373,1.4446,0.4153,0.4156
3,full,1.3001,0.5004,1.2950,0.4825,0.4754
4,full,1.0583,0.6205,1.1615,0.5524,0.5503
5,full,0.8078,0.7249,1.0814,0.5766,0.5759
6,full,0.5760,0.8205,1.0395,0.6075,0.6102
7,full,0.3642,0.9016,0.9863,0.6478,0.6468
8,full,0.2174,0.9457,1.0116,0.6573,0.6534
9,full,0.1082,0.9795,1.1008,0.6559,0.6569
10,full,0.0659,0.9883,1.1082,0.6640,0.6614
11,full,0.0388,0.9937,1.1808,0.6694,0.6679
12,full,0.0309,0.9943,1.1774,0.6734,0.6755
13,full,0.0217,0.9974,1.2234,0.6761,0.6770
14,full,0.0204,0.9960,1.3615,0.6667,0.6643
15,full,0.0162,0.9960,1.2591,0.6922,0.6906
16,full,0.0133,0.9972,1.3633,0.6788,0.6797
17,full,0.0127,0.9980,1.3277,0.6788,0.6768
18,full,0.0116,0.9969,1.3237,0.6976,0.6974
19,full,0.0104,0.9977,1.3424,0.6922,0.6901
20,full,0.0137,0.9960,1.3736,0.6868,0.6861
21,full,0.0115,0.9969,1.3479,0.6895,0.6901
22,full,0.0083,0.9980,1.3963,0.7030,0.7022
23,full,0.0116,0.9963,1.4180,0.7016,0.7027
24,full,0.0090,0.9983,1.5186,0.6815,0.6820
25,full,0.0130,0.9952,1.4348,0.6962,0.6967
26,full,0.0124,0.9957,1.4996,0.7056,0.7071
27,full,0.0074,0.9980,1.5158,0.7204,0.7200
28,full,0.0054,0.9989,1.4871,0.7030,0.7052
29,full,0.0099,0.9969,1.5096,0.7097,0.7084
