epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,1.5286,0.3257,1.4698,0.3495,0.3351
1,head,1.4043,0.4083,1.3852,0.4126,0.4001
2,head,1.3486,0.4432,1.3762,0.4288,0.4233
3,full,1.3083,0.4560,1.1705,0.5202,0.5073
4,full,0.8265,0.6848,1.0274,0.6169,0.6104
5,full,0.4139,0.8501,1.2411,0.6237,0.6002
6,full,0.2515,0.9124,1.1929,0.6089,0.6149
7,full,0.1832,0.9383,1.1783,0.7097,0.7074
8,full,0.1230,0.9596,1.2961,0.7151,0.7157
9,full,0.1102,0.9630,1.3595,0.6599,0.6551
10,full,0.0909,0.9704,1.8012,0.6156,0.6121
11,full,0.1119,0.9627,1.2637,0.6962,0.6942
12,full,0.1069,0.9639,1.1791,0.7003,0.7001
13,full,0.0790,0.9758,1.2803,0.7056,0.7016
14,full,0.0763,0.9775,1.6292,0.6384,0.6279
