epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,6.2447,0.2450,4.9945,0.2930,0.2851
1,head,4.8884,0.2888,4.1948,0.3253,0.3253
2,head,4.0892,0.3346,3.7679,0.3548,0.3523
3,full,2.2264,0.4782,1.2330,0.5914,0.5852
4,full,0.5373,0.8111,1.1664,0.6384,0.6371
5,full,0.2342,0.9161,1.3006,0.6801,0.6786
6,full,0.1527,0.9482,1.1976,0.6922,0.6904
7,full,0.1132,0.9613,1.1601,0.6976,0.6955
8,full,0.0907,0.9716,1.1715,0.7151,0.7148
9,full,0.0758,0.9767,1.2526,0.6909,0.6871
10,full,0.0744,0.9781,1.3339,0.6976,0.6958
11,full,0.0668,0.9775,1.3465,0.7231,0.7242
12,full,0.0601,0.9798,1.2993,0.7124,0.7081
13,full,0.0689,0.9758,1.1041,0.7204,0.7180
14,full,0.0505,0.9829,1.0346,0.7527,0.7529
15,full,0.0403,0.9889,1.2078,0.7392,0.7392
16,full,0.0398,0.9863,1.1087,0.7702,0.7700
17,full,0.0315,0.9889,1.2330,0.7285,0.7271
18,full,0.0346,0.9878,1.1304,0.7661,0.7636
19,full,0.0328,0.9883,1.0783,0.7621,0.7605
20,full,0.0387,0.9886,1.0485,0.7567,0.7583
21,full,0.0332,0.9883,1.1230,0.7648,0.7676
22,full,0.0296,0.9898,1.2361,0.7648,0.7629
