epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,5.8735,0.2501,5.0456,0.2970,0.2972
1,head,4.5705,0.3175,4.3138,0.3118,0.3120
2,head,3.8903,0.3462,3.9936,0.3414,0.3418
3,full,2.3528,0.4714,1.3761,0.5309,0.5316
4,full,0.5410,0.8131,1.3466,0.5941,0.5961
5,full,0.2338,0.9215,1.3108,0.6694,0.6660
6,full,0.1315,0.9531,1.3712,0.6734,0.6721
7,full,0.1099,0.9650,1.3897,0.6841,0.6837
8,full,0.1063,0.9659,1.3319,0.7056,0.7053
9,full,0.0863,0.9687,1.1943,0.7218,0.7215
10,full,0.0677,0.9784,1.3004,0.7124,0.7120
11,full,0.0555,0.9807,1.3946,0.7151,0.7144
12,full,0.0599,0.9772,1.3934,0.7030,0.7031
13,full,0.0500,0.9815,1.2509,0.7298,0.7311
14,full,0.0575,0.9832,1.1494,0.7070,0.7062
15,full,0.0421,0.9861,1.1118,0.7272,0.7259
16,full,0.0467,0.9829,1.0888,0.7460,0.7467
17,full,0.0520,0.9855,1.1191,0.7419,0.7390
18,full,0.0376,0.9866,1.3399,0.7245,0.7263
19,full,0.0298,0.9898,1.3343,0.7218,0.7193
20,full,0.0342,0.9889,1.1451,0.7527,0.7512
21,full,0.0334,0.9898,1.3029,0.7392,0.7372
22,full,0.0374,0.9881,1.1333,0.7272,0.7272
23,full,0.0257,0.9909,1.8343,0.7083,0.7027
24,full,0.0270,0.9900,1.2804,0.7554,0.7572
25,full,0.0274,0.9912,1.0280,0.7863,0.7861
26,full,0.0265,0.9915,1.0860,0.7876,0.7885
27,full,0.0176,0.9954,1.3487,0.7406,0.7422
28,full,0.0241,0.9917,1.2295,0.7661,0.7646
29,full,0.0272,0.9909,1.2485,0.7796,0.7800
