model,preprocess,test_accuracy,macro_f1,macro_precision,macro_recall,best_val_macro_f1,seed,epochs_run,train_seconds
resnet50,D1,0.6734143049932524,0.6729543302200598,0.6729651715308971,0.6737920829720039,0.6813121765807632,123,26,1836.0
resnet50,D2,0.7233468286099866,0.7232724912666217,0.7259493579199179,0.7233378639281003,0.7193513619800863,123,24,1706.3
resnet50,D3,0.8475033738191633,0.8473024860663425,0.8485711682293452,0.847661691295046,0.8375532754917812,123,30,2206.8
resnet50,D4,0.854251012145749,0.8546924847551788,0.8553556560652664,0.8543738461270868,0.855477289092933,123,30,2202.5
efficientnetv2s,D1,0.7516869095816464,0.7529589116871251,0.7594006695997806,0.7519398731267812,0.7514161851582902,123,18,1448.1
efficientnetv2s,D2,0.854251012145749,0.8542013974567453,0.8543099707968294,0.8544834252290352,0.8469080374089428,123,25,2051.0
efficientnetv2s,D3,0.863697705802969,0.8639813939803508,0.866883511314754,0.8638344237406479,0.8648873409012727,123,27,2284.3
efficientnetv2s,D4,0.8920377867746289,0.8919549824006842,0.8920654732266626,0.8922422468436993,0.8759830878328773,123,22,1853.3
mobilenetv3small,D1,0.6626180836707153,0.6526192487225583,0.6608104922033522,0.6632102452733142,0.6211640085899109,123,19,1094.8
mobilenetv3small,D2,0.7786774628879892,0.778521910558964,0.7849458243626363,0.7789222982290924,0.7761426328052619,123,28,1692.8
mobilenetv3small,D3,0.8286099865047234,0.8287463324679745,0.8307026434921845,0.8287522145663176,0.8108282759962562,123,29,2052.5
mobilenetv3small,D4,0.8029689608636977,0.803849285242719,0.8067230926223452,0.8032579283337764,0.8170516210812526,123,27,1888.7
swint,D1,0.7273954116059379,0.7292699508568692,0.7365143424113391,0.7277961928095237,0.6946223399129116,123,19,1477.2
swint,D2,0.8164642375168691,0.8138619679438266,0.8180147451011657,0.8168817663853059,0.8104242802396465,123,20,1584.1
swint,D3,0.8556005398110661,0.8566332105884396,0.8607216036377814,0.8555419444451345,0.8409117989432702,123,21,1725.6
swint,D4,0.854251012145749,0.8558658946932862,0.8621019549851493,0.8542827786874858,0.8322448700140953,123,20,1611.8
