epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,2.9299,0.2293,2.7494,0.2688,0.2670
1,head,2.2969,0.2862,2.3750,0.3051,0.3028
2,head,2.0361,0.3275,2.1784,0.3185,0.3191
3,full,1.7316,0.4011,1.4560,0.4503,0.4382
4,full,1.2009,0.5605,1.1449,0.5551,0.5557
5,full,0.9364,0.6452,0.9341,0.6599,0.6597
6,full,0.7834,0.7084,0.9700,0.6452,0.6307
7,full,0.6104,0.7787,0.9709,0.6841,0.6764
8,full,0.5649,0.7929,0.9748,0.6922,0.6959
9,full,0.4667,0.8287,0.8910,0.6909,0.6919
10,full,0.4057,0.8543,0.7531,0.7540,0.7577
11,full,0.3736,0.8666,1.2681,0.6438,0.6365
12,full,0.3140,0.8788,0.6957,0.7419,0.7426
13,full,0.3003,0.8896,0.8219,0.7406,0.7353
14,full,0.2481,0.9058,0.9334,0.7245,0.7252
15,full,0.2517,0.9018,0.7851,0.7581,0.7607
16,full,0.1977,0.9286,0.8022,0.7702,0.7715
17,full,0.1926,0.9320,0.7994,0.7849,0.7846
18,full,0.2206,0.9255,0.9370,0.7581,0.7515
19,full,0.1942,0.9303,0.7651,0.7876,0.7847
20,full,0.1727,0.9383,0.7989,0.7809,0.7825
21,full,0.1550,0.9479,0.8327,0.7997,0.7981
22,full,0.1506,0.9454,0.7194,0.8105,0.8108
23,full,0.1447,0.9508,0.7687,0.7755,0.7768
24,full,0.1339,0.9553,0.9189,0.7755,0.7778
25,full,0.1293,0.9536,0.8495,0.7849,0.7899
26,full,0.1315,0.9519,0.7407,0.8118,0.8107
27,full,0.1381,0.9502,0.9193,0.7608,0.7663
28,full,0.1308,0.9542,0.9022,0.7567,0.7590
