epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,1.5409,0.3050,1.4384,0.3911,0.3729
1,head,1.4301,0.3949,1.3797,0.4288,0.4288
2,head,1.3849,0.4199,1.3517,0.4341,0.4270
3,full,1.3154,0.4566,1.2232,0.5444,0.5282
4,full,0.9148,0.6464,0.8430,0.6640,0.6580
5,full,0.6962,0.7331,1.0642,0.5672,0.5787
6,full,0.5517,0.7878,0.7219,0.7164,0.7242
7,full,0.4467,0.8367,0.7771,0.7406,0.7273
8,full,0.3723,0.8694,0.8113,0.7419,0.7351
9,full,0.3263,0.8851,0.6031,0.7997,0.8003
10,full,0.2716,0.8947,0.6324,0.8065,0.8047
11,full,0.2430,0.9078,0.6630,0.8159,0.8137
12,full,0.2146,0.9257,0.6246,0.8159,0.8146
13,full,0.1972,0.9300,0.6402,0.8185,0.8131
14,full,0.1759,0.9383,0.6346,0.8293,0.8266
15,full,0.1865,0.9329,0.5391,0.8401,0.8389
16,full,0.1824,0.9300,0.7984,0.7890,0.7843
17,full,0.1541,0.9511,0.7033,0.8132,0.8113
18,full,0.1474,0.9477,0.6048,0.8481,0.8479
19,full,0.1426,0.9525,0.6233,0.8253,0.8253
20,full,0.1313,0.9553,0.6245,0.8347,0.8342
21,full,0.1374,0.9491,0.6619,0.8427,0.8406
22,full,0.1064,0.9619,0.7461,0.8185,0.8181
23,full,0.1075,0.9647,0.9414,0.7688,0.7660
24,full,0.1109,0.9607,0.9109,0.7742,0.7780
