epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,1.5389,0.3161,1.4967,0.3454,0.2908
1,head,1.4192,0.4071,1.3680,0.4449,0.4394
2,head,1.3763,0.4248,1.3613,0.4516,0.4397
3,full,1.3713,0.4248,1.4290,0.4032,0.3854
4,full,0.9106,0.6560,0.8218,0.6828,0.6868
5,full,0.6899,0.7457,0.8040,0.7137,0.6865
6,full,0.5675,0.7960,0.7957,0.6909,0.6879
7,full,0.4504,0.8381,0.5292,0.8078,0.8085
8,full,0.3704,0.8697,0.6940,0.7742,0.7766
9,full,0.3105,0.8885,0.6153,0.7890,0.7936
10,full,0.2539,0.9127,0.5514,0.8347,0.8338
11,full,0.2452,0.9169,0.6514,0.8105,0.8116
12,full,0.2285,0.9220,0.5885,0.8266,0.8272
13,full,0.2017,0.9272,0.5796,0.8253,0.8245
14,full,0.1948,0.9323,0.6044,0.8320,0.8318
15,full,0.1708,0.9422,0.7325,0.8011,0.8002
16,full,0.1523,0.9479,0.5197,0.8481,0.8489
17,full,0.1644,0.9448,0.5907,0.8280,0.8285
18,full,0.1225,0.9582,0.9108,0.7769,0.7782
19,full,0.1265,0.9568,0.8148,0.7702,0.7699
20,full,0.1349,0.9573,0.6153,0.8360,0.8354
21,full,0.1297,0.9556,0.6665,0.7997,0.8030
22,full,0.1232,0.9550,0.8968,0.7930,0.7912
