epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,5.6213,0.2657,4.7162,0.2594,0.2550
1,head,4.3027,0.3129,3.9660,0.3105,0.3091
2,head,3.5495,0.3596,3.5715,0.3239,0.3211
3,full,2.0376,0.5129,1.0261,0.6290,0.6268
4,full,0.4339,0.8509,0.8305,0.6949,0.6971
5,full,0.1999,0.9337,0.8740,0.7540,0.7571
6,full,0.1253,0.9559,0.8502,0.7755,0.7753
7,full,0.1040,0.9659,0.9049,0.7379,0.7382
8,full,0.0843,0.9718,0.8854,0.7876,0.7880
9,full,0.0767,0.9738,0.8234,0.8132,0.8114
10,full,0.0566,0.9772,0.9437,0.7594,0.7543
11,full,0.0675,0.9761,0.7687,0.7863,0.7834
12,full,0.0648,0.9812,0.7681,0.8024,0.8020
13,full,0.0574,0.9812,0.7851,0.8091,0.8074
14,full,0.0519,0.9812,0.7592,0.8212,0.8212
15,full,0.0410,0.9869,0.8483,0.8226,0.8235
16,full,0.0484,0.9844,0.9271,0.8091,0.8086
17,full,0.0395,0.9875,0.9188,0.8105,0.8090
18,full,0.0346,0.9903,0.7166,0.8468,0.8469
19,full,0.0340,0.9889,0.8095,0.8199,0.8194
20,full,0.0273,0.9929,0.7995,0.8226,0.8233
21,full,0.0343,0.9906,0.8304,0.8145,0.8128
22,full,0.0293,0.9898,0.8256,0.8360,0.8359
23,full,0.0300,0.9903,0.9883,0.8091,0.8109
24,full,0.0230,0.9917,0.8415,0.8441,0.8452
