epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,6.1741,0.2313,5.0515,0.2594,0.2510
1,head,4.6253,0.2953,4.1846,0.2997,0.2986
2,head,3.8578,0.3326,3.7144,0.3374,0.3325
3,full,1.9897,0.5280,1.1102,0.6519,0.6488
4,full,0.4576,0.8435,0.8678,0.7325,0.7292
5,full,0.2174,0.9235,0.8797,0.7688,0.7695
6,full,0.1477,0.9556,1.0465,0.7608,0.7609
7,full,0.1148,0.9670,0.9707,0.7634,0.7622
8,full,0.0797,0.9707,0.8970,0.7621,0.7639
9,full,0.0917,0.9679,0.8949,0.7957,0.7948
10,full,0.0640,0.9755,0.8438,0.7997,0.7995
11,full,0.0607,0.9809,0.9942,0.7755,0.7740
12,full,0.0562,0.9835,0.8664,0.7890,0.7881
13,full,0.0480,0.9821,0.8529,0.7930,0.7930
14,full,0.0331,0.9898,0.8052,0.8280,0.8275
15,full,0.0518,0.9821,0.8514,0.8293,0.8289
16,full,0.0381,0.9872,1.0961,0.7890,0.7867
17,full,0.0374,0.9875,0.7824,0.8360,0.8366
18,full,0.0283,0.9909,0.8858,0.8374,0.8380
19,full,0.0331,0.9889,0.9252,0.8078,0.8083
20,full,0.0304,0.9892,0.9037,0.8333,0.8330
21,full,0.0465,0.9881,0.9071,0.7984,0.7978
22,full,0.0317,0.9906,0.8826,0.8239,0.8241
23,full,0.0303,0.9912,0.8095,0.8481,0.8490
24,full,0.0295,0.9923,0.9941,0.8212,0.8225
25,full,0.0266,0.9898,1.0096,0.8239,0.8237
26,full,0.0306,0.9909,0.7374,0.8347,0.8363
27,full,0.0235,0.9912,1.0093,0.8159,0.8140
28,full,0.0213,0.9917,0.7203,0.8562,0.8560
29,full,0.0237,0.9912,0.9125,0.8347,0.8342
