epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,1.5373,0.3138,1.5192,0.3293,0.2684
1,head,1.4208,0.3983,1.3732,0.4220,0.4189
2,head,1.3687,0.4282,1.3632,0.4422,0.4324
3,full,1.3654,0.4179,1.1866,0.5013,0.4616
4,full,0.9232,0.6535,0.7565,0.7392,0.7335
5,full,0.6861,0.7496,0.6296,0.7581,0.7594
6,full,0.5507,0.7954,0.7338,0.7177,0.7206
7,full,0.4352,0.8381,0.6398,0.7742,0.7757
8,full,0.3582,0.8691,0.6120,0.8105,0.8073
9,full,0.3066,0.8925,0.5396,0.8199,0.8218
10,full,0.2649,0.9050,0.7578,0.7648,0.7664
11,full,0.2429,0.9115,0.7017,0.7930,0.7981
12,full,0.2149,0.9223,0.5984,0.8280,0.8266
13,full,0.1904,0.9289,0.6359,0.8132,0.8062
14,full,0.1874,0.9349,0.6156,0.8145,0.8143
15,full,0.1553,0.9431,0.8218,0.7823,0.7821
16,full,0.1507,0.9496,0.6169,0.8320,0.8293
17,full,0.1374,0.9522,0.6423,0.8239,0.8232
18,full,0.1484,0.9488,0.6839,0.8347,0.8352
19,full,0.1476,0.9511,0.5899,0.8280,0.8298
20,full,0.1352,0.9553,0.6005,0.8508,0.8516
21,full,0.1304,0.9525,0.6320,0.8414,0.8438
22,full,0.1074,0.9650,0.6654,0.8508,0.8517
23,full,0.1067,0.9656,0.5943,0.8454,0.8453
24,full,0.0969,0.9661,0.7391,0.8212,0.8217
25,full,0.1052,0.9679,0.6391,0.8642,0.8643
26,full,0.1020,0.9679,0.5920,0.8522,0.8532
27,full,0.0875,0.9693,0.7940,0.8495,0.8486
28,full,0.1012,0.9636,0.7366,0.8320,0.8333
29,full,0.1090,0.9616,0.5340,0.8468,0.8483
