epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,1.5709,0.2896,1.5366,0.3239,0.2981
1,head,1.4826,0.3903,1.4864,0.3737,0.3501
2,head,1.4183,0.4478,1.4576,0.3925,0.3787
3,full,1.3065,0.5104,1.3105,0.4624,0.4525
4,full,1.0541,0.6418,1.1572,0.5591,0.5519
5,full,0.7720,0.7516,1.0298,0.6102,0.6087
6,full,0.5240,0.8498,0.9570,0.6223,0.6227
7,full,0.3236,0.9149,0.9236,0.6586,0.6590
8,full,0.1739,0.9650,0.9693,0.6747,0.6725
9,full,0.0968,0.9821,0.9873,0.6667,0.6666
10,full,0.0512,0.9929,1.0259,0.6761,0.6766
11,full,0.0305,0.9963,1.1280,0.6841,0.6833
12,full,0.0222,0.9963,1.1433,0.6895,0.6891
13,full,0.0156,0.9969,1.1902,0.6922,0.6935
14,full,0.0242,0.9940,1.2692,0.6761,0.6774
15,full,0.0129,0.9977,1.2150,0.7056,0.7056
16,full,0.0091,0.9983,1.2580,0.7110,0.7095
17,full,0.0092,0.9980,1.2771,0.7043,0.7045
18,full,0.0099,0.9974,1.2949,0.7151,0.7152
19,full,0.0073,0.9989,1.3319,0.7083,0.7094
20,full,0.0120,0.9966,1.3571,0.6841,0.6852
21,full,0.0104,0.9972,1.3887,0.6855,0.6839
22,full,0.0093,0.9974,1.3423,0.7151,0.7173
23,full,0.0114,0.9969,1.3526,0.7056,0.7055
24,full,0.0080,0.9986,1.4261,0.6909,0.6891
25,full,0.0074,0.9977,1.3930,0.7003,0.7008
26,full,0.0080,0.9977,1.3734,0.7043,0.7051
27,full,0.0205,0.9940,1.4926,0.6935,0.6934
28,full,0.0077,0.9977,1.3602,0.7110,0.7107
