epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,6.3965,0.2188,4.6623,0.2594,0.2538
1,head,4.8047,0.2723,3.9050,0.2890,0.2857
2,head,4.2104,0.3058,3.4436,0.3239,0.3195
3,full,2.1679,0.4646,1.1234,0.5927,0.5847
4,full,0.8626,0.6811,0.6867,0.7513,0.7493
5,full,0.4974,0.8174,0.6510,0.7890,0.7885
6,full,0.3397,0.8760,0.5803,0.8091,0.8096
7,full,0.2293,0.9220,0.6724,0.7930,0.7955
8,full,0.1799,0.9385,0.5869,0.8293,0.8296
9,full,0.1545,0.9488,0.6113,0.8360,0.8348
10,full,0.1370,0.9559,0.5993,0.8360,0.8362
11,full,0.1105,0.9627,0.8241,0.8185,0.8211
12,full,0.1200,0.9602,0.6244,0.8306,0.8308
13,full,0.0904,0.9653,0.5970,0.8441,0.8443
14,full,0.0888,0.9693,0.6086,0.8495,0.8505
15,full,0.0867,0.9721,0.5524,0.8696,0.8707
16,full,0.0738,0.9758,0.4870,0.8723,0.8725
17,full,0.0638,0.9789,0.6697,0.8374,0.8373
18,full,0.0675,0.9764,0.4930,0.8602,0.8602
19,full,0.0712,0.9764,0.5534,0.8562,0.8557
20,full,0.0596,0.9781,0.6035,0.8737,0.8732
21,full,0.0583,0.9787,0.5286,0.8508,0.8519
22,full,0.0617,0.9795,0.6292,0.8669,0.8668
23,full,0.0462,0.9841,0.6224,0.8575,0.8575
24,full,0.0485,0.9838,0.6284,0.8602,0.8598
25,full,0.0397,0.9866,0.7383,0.8481,0.8497
26,full,0.0371,0.9858,0.7476,0.8629,0.8638
