epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,3.0696,0.2267,2.8920,0.2594,0.2584
1,head,2.3694,0.3027,2.5123,0.2997,0.2986
2,head,2.0584,0.3420,2.3119,0.3011,0.3008
3,full,1.6723,0.4225,1.4510,0.4355,0.4194
4,full,0.9773,0.6282,1.2050,0.5699,0.5571
5,full,0.6090,0.7727,1.3136,0.5444,0.5409
6,full,0.3603,0.8663,1.3351,0.5954,0.5919
7,full,0.2565,0.9090,1.3580,0.6129,0.6069
8,full,0.1795,0.9383,1.4227,0.6008,0.6021
9,full,0.1439,0.9491,1.5031,0.6263,0.6318
10,full,0.1385,0.9545,1.6362,0.5901,0.5965
11,full,0.1316,0.9531,1.4810,0.6519,0.6521
12,full,0.1312,0.9559,1.8797,0.6331,0.6214
13,full,0.1102,0.9622,2.1648,0.6062,0.5888
14,full,0.1156,0.9562,1.6459,0.6532,0.6517
15,full,0.1004,0.9673,1.5028,0.6734,0.6704
16,full,0.0987,0.9661,1.8818,0.6398,0.6368
17,full,0.0932,0.9650,1.8827,0.6573,0.6477
18,full,0.0890,0.9724,1.8292,0.6438,0.6352
19,full,0.0752,0.9752,1.8682,0.6505,0.6468
20,full,0.0841,0.9721,2.3262,0.6035,0.5954
21,full,0.0937,0.9701,2.0604,0.6398,0.6352
