epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,1.5727,0.2993,1.5399,0.3454,0.3120
1,head,1.4989,0.3770,1.4923,0.3616,0.3390
2,head,1.4411,0.4219,1.4657,0.3844,0.3699
3,full,1.3433,0.4745,1.3312,0.4745,0.4669
4,full,1.1865,0.5496,1.1678,0.5444,0.5369
5,full,1.0204,0.6131,1.0385,0.6089,0.6064
6,full,0.8716,0.6737,0.9167,0.6694,0.6639
7,full,0.7394,0.7215,0.8142,0.7070,0.7053
8,full,0.6375,0.7667,0.7465,0.7124,0.7089
9,full,0.5388,0.8074,0.6800,0.7608,0.7600
10,full,0.4662,0.8336,0.6412,0.7809,0.7801
11,full,0.4034,0.8580,0.6317,0.7809,0.7815
12,full,0.3482,0.8782,0.5985,0.7903,0.7909
13,full,0.2878,0.9044,0.6116,0.7796,0.7792
14,full,0.2583,0.9087,0.6294,0.7836,0.7842
15,full,0.2227,0.9215,0.5970,0.7944,0.7929
16,full,0.1897,0.9368,0.5994,0.8065,0.8063
17,full,0.1629,0.9417,0.6226,0.7890,0.7891
18,full,0.1457,0.9505,0.6065,0.8024,0.8028
19,full,0.1188,0.9613,0.6125,0.7917,0.7915
20,full,0.1067,0.9667,0.6100,0.8038,0.8048
21,full,0.0963,0.9716,0.5897,0.8253,0.8250
22,full,0.0852,0.9750,0.6098,0.8185,0.8195
23,full,0.0818,0.9733,0.5975,0.8145,0.8149
24,full,0.0766,0.9758,0.5937,0.8239,0.8251
25,full,0.0711,0.9764,0.6332,0.8159,0.8157
26,full,0.0619,0.9804,0.6376,0.8185,0.8179
27,full,0.0721,0.9758,0.6470,0.8091,0.8097
28,full,0.0522,0.9835,0.6341,0.8078,0.8077
29,full,0.0503,0.9838,0.6616,0.8145,0.8146
