epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,5.7864,0.2418,4.8069,0.2917,0.2881
1,head,4.6008,0.2748,4.1060,0.3253,0.3235
2,head,3.8339,0.3181,3.7816,0.3226,0.3221
3,full,2.2006,0.4637,1.2284,0.5672,0.5601
4,full,0.8597,0.6964,0.7573,0.7312,0.7345
5,full,0.5040,0.8131,0.6421,0.7742,0.7714
6,full,0.3276,0.8879,0.5480,0.8078,0.8054
7,full,0.2488,0.9115,0.6337,0.8038,0.8003
8,full,0.1960,0.9354,0.6186,0.8293,0.8280
9,full,0.1552,0.9457,0.5957,0.8347,0.8333
10,full,0.1331,0.9545,0.6035,0.8320,0.8341
11,full,0.1188,0.9587,0.5989,0.8414,0.8424
12,full,0.1121,0.9619,0.5115,0.8548,0.8551
13,full,0.1013,0.9656,0.5197,0.8656,0.8660
14,full,0.0833,0.9724,0.7270,0.8508,0.8507
15,full,0.0654,0.9792,0.5818,0.8589,0.8592
16,full,0.0769,0.9784,0.4965,0.8696,0.8697
17,full,0.0603,0.9792,0.6819,0.8495,0.8482
18,full,0.0572,0.9798,0.5766,0.8642,0.8642
19,full,0.0560,0.9815,0.7263,0.8495,0.8497
20,full,0.0553,0.9815,0.6139,0.8683,0.8682
21,full,0.0609,0.9792,0.7520,0.8441,0.8437
22,full,0.0501,0.9824,0.5256,0.8696,0.8697
