epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,3.2646,0.2171,2.7955,0.2634,0.2614
1,head,2.4690,0.2959,2.3663,0.2849,0.2834
2,head,2.1565,0.3275,2.1698,0.3145,0.3099
3,full,1.7431,0.4265,2.0905,0.4046,0.3480
4,full,1.0564,0.6111,1.3007,0.5336,0.5216
5,full,0.6534,0.7570,1.2371,0.5659,0.5686
6,full,0.4079,0.8506,1.5506,0.5484,0.5428
7,full,0.2785,0.8979,1.2802,0.6089,0.6066
8,full,0.1920,0.9292,1.8093,0.5645,0.5598
9,full,0.1749,0.9385,1.7407,0.5780,0.5780
10,full,0.1543,0.9457,2.2217,0.5296,0.5101
11,full,0.1274,0.9550,1.9472,0.5780,0.5712
12,full,0.1250,0.9576,1.6084,0.6398,0.6367
13,full,0.1019,0.9661,1.7078,0.6048,0.6041
14,full,0.0999,0.9673,2.3778,0.5417,0.5534
15,full,0.1048,0.9624,2.3687,0.5618,0.5424
16,full,0.0963,0.9642,1.9019,0.6532,0.6511
17,full,0.1121,0.9599,1.9200,0.6048,0.6013
18,full,0.1146,0.9636,1.7654,0.6263,0.6312
19,full,0.0870,0.9727,1.7583,0.6613,0.6602
20,full,0.0717,0.9752,1.8106,0.6626,0.6608
21,full,0.0802,0.9755,1.7311,0.6626,0.6646
22,full,0.0787,0.9730,1.7768,0.6425,0.6365
23,full,0.0677,0.9772,2.2195,0.6384,0.6330
24,full,0.0618,0.9772,1.9500,0.6573,0.6573
25,full,0.0605,0.9795,1.7957,0.6720,0.6732
26,full,0.0769,0.9772,2.2562,0.6169,0.6155
27,full,0.0652,0.9784,2.1074,0.6344,0.6387
28,full,0.0727,0.9730,1.8483,0.6720,0.6697
29,full,0.0706,0.9770,2.0478,0.6169,0.6173
