epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,1.5725,0.2910,1.5359,0.3468,0.3279
1,head,1.4807,0.3994,1.4893,0.3723,0.3532
2,head,1.4219,0.4267,1.4516,0.3763,0.3648
3,full,1.3092,0.5081,1.3131,0.4651,0.4596
4,full,1.0606,0.6356,1.1606,0.5417,0.5399
5,full,0.7793,0.7553,1.0176,0.6008,0.6014
6,full,0.5275,0.8438,0.9454,0.6358,0.6357
7,full,0.3321,0.9135,0.9136,0.6546,0.6536
8,full,0.1847,0.9587,0.8865,0.6828,0.6821
9,full,0.1025,0.9829,0.9091,0.6841,0.6845
10,full,0.0530,0.9926,1.0275,0.6882,0.6889
11,full,0.0296,0.9974,1.0267,0.6976,0.6950
12,full,0.0231,0.9957,1.0614,0.6788,0.6791
13,full,0.0225,0.9963,1.0901,0.7016,0.7007
14,full,0.0198,0.9954,1.1238,0.7043,0.7046
15,full,0.0147,0.9969,1.1740,0.6815,0.6823
16,full,0.0128,0.9966,1.1563,0.7003,0.7010
17,full,0.0092,0.9989,1.2006,0.7191,0.7194
18,full,0.0133,0.9972,1.2503,0.6882,0.6896
19,full,0.0100,0.9980,1.3126,0.6922,0.6935
20,full,0.0094,0.9974,1.2339,0.7056,0.7052
21,full,0.0110,0.9977,1.2544,0.7043,0.7034
22,full,0.0088,0.9980,1.2868,0.7070,0.7068
23,full,0.0079,0.9972,1.3271,0.7110,0.7098
