epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,5.6557,0.2467,4.8306,0.2890,0.2825
1,head,4.3947,0.2987,4.1097,0.3159,0.3141
2,head,3.7884,0.3235,3.6741,0.3159,0.3183
3,full,2.3082,0.4873,1.4180,0.5766,0.5789
4,full,0.7348,0.7380,0.7849,0.7124,0.7149
5,full,0.4202,0.8498,0.7626,0.7487,0.7469
6,full,0.2639,0.9038,0.6350,0.7917,0.7926
7,full,0.2148,0.9226,0.6663,0.8051,0.8063
8,full,0.1519,0.9496,0.6311,0.8105,0.8096
9,full,0.1456,0.9519,0.6015,0.7997,0.7988
10,full,0.1059,0.9661,0.6383,0.8347,0.8347
11,full,0.0901,0.9687,0.7490,0.8414,0.8454
12,full,0.0942,0.9713,0.6206,0.8360,0.8367
13,full,0.0781,0.9775,0.5795,0.8414,0.8407
14,full,0.0687,0.9787,0.8641,0.7984,0.8003
15,full,0.0849,0.9698,0.5775,0.8468,0.8456
16,full,0.0519,0.9818,0.8015,0.8347,0.8348
17,full,0.0620,0.9818,0.7160,0.8495,0.8490
18,full,0.0579,0.9809,0.7501,0.8132,0.8121
19,full,0.0610,0.9835,0.6217,0.8481,0.8492
20,full,0.0526,0.9824,0.7706,0.8441,0.8435
21,full,0.0501,0.9838,0.7354,0.8535,0.8547
22,full,0.0395,0.9841,0.6695,0.8777,0.8779
23,full,0.0424,0.9886,0.6702,0.8616,0.8620
24,full,0.0451,0.9838,0.6756,0.8656,0.8652
25,full,0.0488,0.9824,0.6685,0.8454,0.8454
26,full,0.0332,0.9889,0.7639,0.8468,0.8470
27,full,0.0374,0.9886,0.7156,0.8468,0.8470
28,full,0.0354,0.9883,0.6020,0.8750,0.8749
