epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,2.8595,0.2395,2.7873,0.2406,0.2364
1,head,2.3350,0.2848,2.4315,0.2594,0.2591
2,head,2.0428,0.3220,2.2436,0.2903,0.2872
3,full,1.6767,0.4162,1.5390,0.4274,0.4178
4,full,1.1434,0.5613,1.1372,0.5699,0.5685
5,full,0.8654,0.6768,0.9019,0.6532,0.6496
6,full,0.6941,0.7451,1.1431,0.5968,0.5836
7,full,0.5956,0.7821,1.0261,0.6694,0.6620
8,full,0.5160,0.8156,0.9342,0.6599,0.6731
9,full,0.4250,0.8441,0.8268,0.7285,0.7311
10,full,0.3891,0.8546,0.8967,0.7366,0.7391
11,full,0.3512,0.8771,0.9127,0.7204,0.7120
12,full,0.3112,0.8873,0.7523,0.7836,0.7823
13,full,0.2995,0.8953,0.8844,0.7554,0.7537
14,full,0.2403,0.9152,0.8560,0.7608,0.7565
15,full,0.1996,0.9280,0.7350,0.7661,0.7667
16,full,0.1990,0.9312,0.7755,0.7688,0.7665
17,full,0.1876,0.9314,0.9876,0.7487,0.7431
18,full,0.1682,0.9437,0.7793,0.7755,0.7781
