epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,2.8830,0.2401,2.6532,0.2366,0.2371
1,head,2.2737,0.2885,2.3399,0.2755,0.2753
2,head,2.0235,0.3383,2.1263,0.3051,0.3018
3,full,1.6356,0.4384,1.3390,0.4839,0.4866
4,full,1.0120,0.6117,1.3597,0.5148,0.4973
5,full,0.7756,0.7175,0.9543,0.6505,0.6448
6,full,0.5946,0.7829,1.1893,0.6237,0.6129
7,full,0.4710,0.8248,1.0092,0.6868,0.6793
8,full,0.3785,0.8663,0.8057,0.7298,0.7357
9,full,0.3162,0.8839,0.8422,0.7460,0.7427
10,full,0.2760,0.8970,0.8718,0.7392,0.7411
11,full,0.2468,0.9075,0.9990,0.7191,0.7118
12,full,0.2214,0.9186,1.0169,0.7164,0.7144
13,full,0.2230,0.9243,1.8347,0.5995,0.5669
14,full,0.1809,0.9351,0.9933,0.7392,0.7342
15,full,0.1674,0.9422,0.8198,0.7675,0.7678
16,full,0.1542,0.9420,1.0808,0.7312,0.7294
17,full,0.1295,0.9559,0.8807,0.7796,0.7784
18,full,0.1361,0.9542,0.8466,0.7930,0.7908
19,full,0.1070,0.9642,0.9595,0.7675,0.7688
20,full,0.1387,0.9548,0.9574,0.7621,0.7620
21,full,0.1374,0.9505,0.9018,0.7755,0.7754
22,full,0.1066,0.9622,1.0586,0.7863,0.7835
23,full,0.1062,0.9650,0.8585,0.7997,0.8005
24,full,0.0969,0.9684,0.9103,0.7917,0.7933
25,full,0.0967,0.9659,1.0960,0.7648,0.7606
26,full,0.0910,0.9681,0.7654,0.7984,0.7989
27,full,0.0739,0.9752,1.0204,0.7796,0.7800
28,full,0.0976,0.9661,1.0045,0.7863,0.7827
29,full,0.0908,0.9696,1.0818,0.7715,0.7700
