epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,1.5783,0.2700,1.5461,0.3320,0.2953
1,head,1.5075,0.3664,1.4983,0.3777,0.3631
2,head,1.4626,0.3986,1.4771,0.3844,0.3787
3,full,1.3721,0.4472,1.3698,0.4489,0.4456
4,full,1.2456,0.5172,1.2468,0.4919,0.4898
5,full,1.1171,0.5829,1.1381,0.5376,0.5299
6,full,0.9927,0.6168,1.0143,0.5981,0.5967
7,full,0.8678,0.6785,0.9216,0.6344,0.6327
8,full,0.7768,0.7067,0.8425,0.6815,0.6806
9,full,0.6747,0.7525,0.7860,0.6962,0.6993
10,full,0.5968,0.7886,0.7168,0.7151,0.7163
11,full,0.5206,0.8117,0.6851,0.7366,0.7372
12,full,0.4642,0.8310,0.6591,0.7608,0.7608
13,full,0.4290,0.8447,0.6349,0.7621,0.7631
14,full,0.3776,0.8669,0.6361,0.7634,0.7625
15,full,0.3545,0.8700,0.5992,0.7836,0.7840
16,full,0.3253,0.8856,0.5971,0.7944,0.7941
17,full,0.2763,0.9010,0.5917,0.7944,0.7947
18,full,0.2612,0.9070,0.6082,0.7970,0.7988
19,full,0.2269,0.9218,0.5869,0.8051,0.8065
20,full,0.1916,0.9368,0.5846,0.8118,0.8117
21,full,0.1877,0.9391,0.6231,0.8011,0.8017
22,full,0.1705,0.9425,0.5869,0.8226,0.8237
23,full,0.1502,0.9474,0.6166,0.8065,0.8079
24,full,0.1431,0.9536,0.6433,0.8145,0.8146
25,full,0.1298,0.9570,0.6237,0.8239,0.8239
26,full,0.1252,0.9590,0.6612,0.8145,0.8156
27,full,0.1095,0.9624,0.6169,0.8239,0.8250
28,full,0.1005,0.9664,0.6190,0.8172,0.8174
29,full,0.1015,0.9679,0.6019,0.8199,0.8187
