epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,1.5755,0.2899,1.5443,0.3347,0.3068
1,head,1.5023,0.3784,1.5012,0.3669,0.3409
2,head,1.4624,0.3906,1.4674,0.3817,0.3629
3,full,1.3755,0.4512,1.3401,0.4664,0.4586
4,full,1.2540,0.5124,1.2290,0.5296,0.5243
5,full,1.1187,0.5750,1.1091,0.5726,0.5648
6,full,0.9953,0.6216,0.9774,0.6371,0.6339
7,full,0.8607,0.6748,0.8903,0.6788,0.6778
8,full,0.7570,0.7212,0.8074,0.6976,0.6942
9,full,0.6737,0.7573,0.7433,0.6989,0.6975
10,full,0.5953,0.7889,0.7082,0.7258,0.7221
11,full,0.5225,0.8185,0.6770,0.7594,0.7572
12,full,0.4614,0.8376,0.6569,0.7688,0.7698
13,full,0.4129,0.8558,0.6388,0.7742,0.7752
14,full,0.3779,0.8578,0.6434,0.7809,0.7814
15,full,0.3286,0.8828,0.6164,0.7970,0.7970
16,full,0.2970,0.8942,0.6065,0.8065,0.8067
17,full,0.2622,0.9081,0.5965,0.8065,0.8070
18,full,0.2569,0.9098,0.6167,0.7984,0.7982
19,full,0.2215,0.9169,0.6381,0.7944,0.7945
20,full,0.2057,0.9289,0.5788,0.8159,0.8152
21,full,0.1938,0.9314,0.5822,0.8172,0.8168
22,full,0.1634,0.9457,0.5977,0.8105,0.8115
23,full,0.1518,0.9445,0.5930,0.8239,0.8252
24,full,0.1369,0.9531,0.6167,0.8266,0.8270
25,full,0.1264,0.9545,0.6153,0.8199,0.8207
26,full,0.1214,0.9593,0.5804,0.8360,0.8360
27,full,0.1191,0.9602,0.6015,0.8253,0.8251
28,full,0.0947,0.9696,0.6198,0.8374,0.8376
29,full,0.0952,0.9716,0.5972,0.8306,0.8305
