epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,1.5779,0.2731,1.5441,0.3454,0.3176
1,head,1.5074,0.3627,1.4995,0.3535,0.3324
2,head,1.4634,0.3974,1.4629,0.4005,0.3869
3,full,1.3744,0.4629,1.3468,0.4624,0.4587
4,full,1.2540,0.5098,1.2369,0.5108,0.5067
5,full,1.1332,0.5701,1.1248,0.5685,0.5637
6,full,0.9978,0.6253,1.0107,0.6022,0.5984
7,full,0.8797,0.6777,0.9163,0.6465,0.6437
8,full,0.7625,0.7183,0.8592,0.6613,0.6560
9,full,0.6749,0.7553,0.7580,0.7164,0.7150
10,full,0.5929,0.7818,0.7306,0.7231,0.7210
11,full,0.5079,0.8168,0.6915,0.7473,0.7466
12,full,0.4722,0.8304,0.6670,0.7554,0.7556
13,full,0.4313,0.8432,0.6833,0.7500,0.7506
14,full,0.3782,0.8674,0.6353,0.7567,0.7569
15,full,0.3401,0.8785,0.6112,0.7890,0.7903
16,full,0.2956,0.9001,0.5904,0.8011,0.8008
17,full,0.2743,0.9013,0.6054,0.7944,0.7950
18,full,0.2559,0.9138,0.5595,0.8038,0.8034
19,full,0.2319,0.9172,0.5868,0.7997,0.8003
20,full,0.2006,0.9266,0.6170,0.7890,0.7893
21,full,0.1975,0.9297,0.5950,0.8145,0.8155
22,full,0.1639,0.9462,0.5838,0.8105,0.8120
23,full,0.1607,0.9496,0.6007,0.8145,0.8158
24,full,0.1491,0.9528,0.5980,0.8105,0.8110
25,full,0.1324,0.9536,0.5923,0.8347,0.8351
26,full,0.1252,0.9570,0.5911,0.8454,0.8460
27,full,0.1005,0.9676,0.5832,0.8414,0.8420
28,full,0.0948,0.9713,0.6072,0.8548,0.8555
29,full,0.1016,0.9656,0.6619,0.8360,0.8370
