epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,3.1119,0.2142,2.6923,0.2419,0.2405
1,head,2.3786,0.2791,2.2759,0.2944,0.2937
2,head,2.0347,0.3340,2.0403,0.3320,0.3297
3,full,1.5933,0.4549,1.4925,0.4892,0.4749
4,full,0.8568,0.6890,1.0022,0.6371,0.6409
5,full,0.4942,0.8225,1.2488,0.5968,0.5871
6,full,0.2803,0.8979,1.3271,0.5981,0.5970
7,full,0.2337,0.9178,1.4107,0.6478,0.6270
8,full,0.1524,0.9485,1.1256,0.6855,0.6830
9,full,0.1314,0.9573,1.2888,0.6761,0.6653
10,full,0.1278,0.9593,1.1341,0.6962,0.6936
11,full,0.1230,0.9570,1.2174,0.7016,0.7005
12,full,0.0920,0.9707,1.4587,0.6868,0.6883
13,full,0.1061,0.9687,1.3079,0.6989,0.7021
14,full,0.1058,0.9630,1.3884,0.7110,0.7113
15,full,0.0702,0.9747,1.0345,0.7460,0.7469
16,full,0.0872,0.9687,1.1696,0.7419,0.7420
17,full,0.0830,0.9713,1.1931,0.7433,0.7434
18,full,0.0923,0.9716,1.1527,0.7366,0.7387
19,full,0.0878,0.9696,1.4130,0.7204,0.7187
20,full,0.0685,0.9781,1.2151,0.7661,0.7660
21,full,0.0724,0.9770,1.4876,0.7298,0.7205
22,full,0.0590,0.9801,1.3120,0.7554,0.7557
23,full,0.0619,0.9812,1.3796,0.7621,0.7582
24,full,0.0474,0.9821,1.4137,0.7272,0.7260
25,full,0.0602,0.9781,1.6094,0.6989,0.7015
26,full,0.0529,0.9818,1.8326,0.7164,0.7231
