epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,1.5223,0.3235,1.4546,0.3750,0.3603
1,head,1.4047,0.4077,1.3912,0.3831,0.3660
2,head,1.3489,0.4467,1.3773,0.4086,0.3959
3,full,1.3013,0.4575,1.1202,0.5363,0.5107
4,full,0.8148,0.6925,1.0523,0.5739,0.5907
5,full,0.4059,0.8566,0.8897,0.6882,0.6841
6,full,0.2279,0.9155,1.3798,0.5833,0.5930
7,full,0.1735,0.9383,1.2607,0.6384,0.6407
8,full,0.1480,0.9531,1.3393,0.6694,0.6571
9,full,0.1223,0.9542,1.7788,0.6290,0.6106
10,full,0.1181,0.9579,1.9795,0.5981,0.5955
11,full,0.1005,0.9659,1.4696,0.6828,0.6874
12,full,0.0970,0.9636,1.3619,0.6949,0.6946
13,full,0.0915,0.9681,1.3645,0.6935,0.6934
14,full,0.0774,0.9713,1.5351,0.6586,0.6604
15,full,0.0841,0.9690,1.6234,0.6707,0.6510
16,full,0.0961,0.9693,1.3034,0.6358,0.6317
17,full,0.0680,0.9801,1.4796,0.6761,0.6734
18,full,0.0654,0.9755,1.6967,0.6384,0.6360
