epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,2.9150,0.2376,2.5751,0.2594,0.2597
1,head,2.2449,0.3070,2.2213,0.3065,0.3074
2,head,1.9544,0.3550,2.0454,0.3333,0.3330
3,full,1.5596,0.4623,1.3614,0.5067,0.4998
4,full,0.8073,0.6996,1.2509,0.5632,0.5550
5,full,0.4989,0.8122,1.2199,0.6452,0.6409
6,full,0.3243,0.8814,1.0017,0.6855,0.6859
7,full,0.2077,0.9266,1.4430,0.6317,0.6278
8,full,0.1634,0.9414,1.1325,0.6855,0.6915
9,full,0.1435,0.9479,1.6742,0.6532,0.6512
10,full,0.1176,0.9570,1.2757,0.7164,0.7158
11,full,0.1276,0.9542,1.2370,0.7325,0.7296
12,full,0.1192,0.9585,1.1059,0.7433,0.7411
13,full,0.1092,0.9636,1.3804,0.7110,0.7102
14,full,0.0835,0.9733,1.2932,0.7366,0.7330
15,full,0.1228,0.9568,1.9415,0.6573,0.6483
16,full,0.0894,0.9690,1.2502,0.7312,0.7313
17,full,0.1100,0.9633,1.2345,0.7540,0.7536
18,full,0.0787,0.9747,1.3775,0.7352,0.7338
19,full,0.0866,0.9713,1.2634,0.7688,0.7692
20,full,0.0765,0.9750,1.3512,0.7312,0.7290
21,full,0.0629,0.9781,1.1497,0.7742,0.7761
22,full,0.0690,0.9781,1.2231,0.7594,0.7610
23,full,0.0683,0.9804,1.4232,0.7419,0.7381
24,full,0.0680,0.9772,1.3145,0.7608,0.7586
25,full,0.0742,0.9750,1.2300,0.7621,0.7608
26,full,0.0525,0.9832,1.2419,0.7702,0.7725
27,full,0.0690,0.9741,1.6302,0.7379,0.7378
