epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,1.5736,0.2834,1.5362,0.3374,0.3008
1,head,1.4849,0.4000,1.4864,0.3831,0.3700
2,head,1.4222,0.4395,1.4565,0.3925,0.3876
3,full,1.3076,0.5092,1.3147,0.4731,0.4685
4,full,1.0539,0.6461,1.1673,0.5591,0.5564
5,full,0.7780,0.7553,1.0528,0.6089,0.6063
6,full,0.5302,0.8410,0.9494,0.6331,0.6321
7,full,0.3279,0.9206,0.9252,0.6532,0.6549
8,full,0.1945,0.9585,0.9365,0.6761,0.6759
9,full,0.0943,0.9861,1.0142,0.6626,0.6638
10,full,0.0618,0.9883,1.0222,0.6828,0.6828
11,full,0.0276,0.9969,1.1375,0.6720,0.6754
12,full,0.0207,0.9963,1.0509,0.7097,0.7105
13,full,0.0161,0.9980,1.1077,0.7151,0.7158
14,full,0.0165,0.9972,1.1395,0.6976,0.6956
15,full,0.0184,0.9966,1.2141,0.7030,0.7032
16,full,0.0158,0.9954,1.1711,0.7070,0.7075
17,full,0.0116,0.9969,1.1911,0.6949,0.6939
18,full,0.0140,0.9974,1.2361,0.6895,0.6915
19,full,0.0087,0.9980,1.2723,0.7003,0.7009
