epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,1.5780,0.2720,1.5434,0.3065,0.2539
1,head,1.5055,0.3676,1.4938,0.3696,0.3481
2,head,1.4591,0.3841,1.4663,0.3763,0.3704
3,full,1.3768,0.4467,1.3579,0.4530,0.4519
4,full,1.2523,0.5129,1.2533,0.5121,0.5056
5,full,1.1265,0.5713,1.1148,0.5538,0.5476
6,full,0.9983,0.6185,1.0065,0.6089,0.6068
7,full,0.8797,0.6774,0.8996,0.6559,0.6560
8,full,0.7824,0.7101,0.7968,0.6976,0.6942
9,full,0.6870,0.7474,0.7499,0.7258,0.7263
10,full,0.6175,0.7829,0.6848,0.7513,0.7499
11,full,0.5124,0.8213,0.6414,0.7702,0.7697
12,full,0.4895,0.8213,0.6100,0.7715,0.7685
13,full,0.4325,0.8475,0.5938,0.7836,0.7823
14,full,0.3907,0.8615,0.6008,0.7930,0.7909
15,full,0.3459,0.8839,0.5696,0.7997,0.8004
16,full,0.3027,0.8905,0.5490,0.8132,0.8134
17,full,0.2718,0.9061,0.5459,0.8024,0.8041
18,full,0.2455,0.9144,0.5267,0.8239,0.8244
19,full,0.1979,0.9314,0.5234,0.8172,0.8185
20,full,0.2062,0.9297,0.5331,0.8212,0.8219
21,full,0.1779,0.9377,0.5239,0.8306,0.8319
22,full,0.1732,0.9374,0.5252,0.8293,0.8302
23,full,0.1480,0.9491,0.5723,0.8159,0.8172
24,full,0.1428,0.9511,0.5442,0.8293,0.8301
25,full,0.1306,0.9550,0.5703,0.8239,0.8241
26,full,0.1223,0.9587,0.6205,0.8091,0.8104
27,full,0.1130,0.9576,0.5657,0.8347,0.8357
28,full,0.0913,0.9698,0.6138,0.8347,0.8357
29,full,0.0939,0.9673,0.5603,0.8374,0.8378
