epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,1.5338,0.3149,1.4713,0.3508,0.3101
1,head,1.4095,0.4119,1.3642,0.4422,0.4407
2,head,1.3578,0.4341,1.3604,0.4409,0.4294
3,full,1.3245,0.4458,1.1264,0.5430,0.5390
4,full,0.8543,0.6768,0.7513,0.7218,0.7083
5,full,0.5912,0.7826,0.7704,0.7218,0.7072
6,full,0.4647,0.8267,0.5994,0.7944,0.7968
7,full,0.3601,0.8745,0.6094,0.8078,0.8107
8,full,0.2879,0.8933,0.5737,0.8132,0.8132
9,full,0.2693,0.9018,0.5849,0.8185,0.8213
10,full,0.2206,0.9215,0.6587,0.8199,0.8189
11,full,0.1927,0.9323,0.6703,0.8118,0.8113
12,full,0.1776,0.9366,0.7142,0.8051,0.8018
13,full,0.1793,0.9357,0.5998,0.8280,0.8252
14,full,0.1251,0.9565,0.5947,0.8374,0.8385
15,full,0.1455,0.9488,0.7590,0.7863,0.7867
16,full,0.1373,0.9525,0.5844,0.8427,0.8424
17,full,0.1119,0.9630,0.9698,0.7688,0.7649
18,full,0.1318,0.9550,0.6501,0.8401,0.8414
19,full,0.1079,0.9630,0.8818,0.8253,0.8208
20,full,0.1049,0.9653,0.6628,0.8374,0.8374
21,full,0.1038,0.9664,0.6120,0.8454,0.8467
22,full,0.1106,0.9639,0.8070,0.8293,0.8288
23,full,0.1006,0.9650,0.7284,0.8280,0.8287
24,full,0.1011,0.9690,0.7926,0.8347,0.8330
25,full,0.0796,0.9744,0.7175,0.8535,0.8525
26,full,0.0928,0.9721,0.8274,0.8306,0.8329
27,full,0.0929,0.9661,0.6787,0.8360,0.8346
28,full,0.0740,0.9738,0.8797,0.8145,0.8175
29,full,0.0882,0.9667,0.9507,0.8051,0.8055
