epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,1.5294,0.3181,1.4516,0.3763,0.3780
1,head,1.3988,0.4174,1.3980,0.4113,0.4133
2,head,1.3541,0.4430,1.3762,0.4301,0.4282
3,full,1.2738,0.4819,1.1021,0.5403,0.5473
4,full,0.7609,0.7135,0.8970,0.6438,0.6456
5,full,0.3807,0.8617,0.9722,0.6694,0.6700
6,full,0.2194,0.9218,1.0795,0.6761,0.6763
7,full,0.1669,0.9391,1.2379,0.6801,0.6780
8,full,0.1216,0.9599,1.5369,0.6626,0.6448
9,full,0.1577,0.9431,1.7092,0.5699,0.5601
10,full,0.1186,0.9536,1.5334,0.6815,0.6767
11,full,0.0934,0.9644,1.6452,0.6707,0.6673
12,full,0.0813,0.9744,1.2691,0.7016,0.7019
13,full,0.0714,0.9758,1.4684,0.6855,0.6888
14,full,0.0978,0.9679,1.3117,0.7177,0.7188
15,full,0.0648,0.9758,1.7534,0.6505,0.6532
16,full,0.0634,0.9784,1.4802,0.6707,0.6772
17,full,0.0703,0.9738,1.9635,0.6519,0.6412
18,full,0.0679,0.9770,1.5513,0.6747,0.6734
19,full,0.0678,0.9784,1.6738,0.6761,0.6508
20,full,0.0592,0.9784,1.6096,0.6734,0.6656
