epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,1.5303,0.3203,1.4228,0.3817,0.3655
1,head,1.4252,0.3983,1.3711,0.4113,0.3981
2,head,1.3794,0.4242,1.3625,0.4207,0.4100
3,full,1.2997,0.4606,0.9313,0.6290,0.6262
4,full,0.8885,0.6666,0.9790,0.6156,0.6230
5,full,0.6536,0.7573,0.7612,0.7003,0.7043
6,full,0.5405,0.8037,0.6272,0.7527,0.7544
7,full,0.4279,0.8421,0.5889,0.7997,0.7975
8,full,0.3797,0.8629,0.5867,0.7917,0.7935
9,full,0.3206,0.8882,0.6608,0.7930,0.7932
10,full,0.2645,0.9041,0.6212,0.8212,0.8188
11,full,0.2190,0.9232,0.6032,0.8051,0.8073
12,full,0.2204,0.9223,0.6147,0.8253,0.8253
13,full,0.1944,0.9340,0.6382,0.8293,0.8322
14,full,0.1932,0.9269,0.6782,0.7903,0.7915
15,full,0.1689,0.9391,0.6516,0.8132,0.8111
16,full,0.1625,0.9405,0.8325,0.7876,0.7825
17,full,0.1587,0.9459,0.7120,0.8239,0.8241
18,full,0.1565,0.9457,0.6082,0.8266,0.8268
19,full,0.1333,0.9531,0.6529,0.8159,0.8177
