epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,1.5686,0.2950,1.5235,0.3871,0.3672
1,head,1.4795,0.3929,1.4755,0.3858,0.3681
2,head,1.4185,0.4452,1.4488,0.4005,0.3897
3,full,1.3058,0.4927,1.2838,0.4839,0.4779
4,full,1.0642,0.6111,1.1670,0.5403,0.5329
5,full,0.8162,0.7181,1.0699,0.5726,0.5681
6,full,0.5653,0.8273,1.0075,0.6102,0.6025
7,full,0.3640,0.9050,1.0313,0.6156,0.6130
8,full,0.2046,0.9553,1.0082,0.6465,0.6443
9,full,0.1042,0.9801,1.0714,0.6492,0.6462
10,full,0.0549,0.9900,1.1744,0.6613,0.6597
11,full,0.0336,0.9954,1.1698,0.6680,0.6667
12,full,0.0271,0.9946,1.2376,0.6747,0.6752
13,full,0.0202,0.9963,1.3050,0.6694,0.6685
14,full,0.0190,0.9963,1.2921,0.6747,0.6756
15,full,0.0136,0.9966,1.4025,0.6613,0.6550
16,full,0.0126,0.9969,1.4090,0.6720,0.6689
17,full,0.0126,0.9960,1.5199,0.6559,0.6518
18,full,0.0138,0.9954,1.4009,0.6694,0.6677
19,full,0.0118,0.9974,1.4198,0.6828,0.6800
20,full,0.0135,0.9954,1.4463,0.6882,0.6868
21,full,0.0102,0.9972,1.3930,0.6976,0.6967
22,full,0.0074,0.9977,1.5266,0.6882,0.6900
23,full,0.0068,0.9983,1.4977,0.6922,0.6869
24,full,0.0089,0.9969,1.5059,0.6935,0.6926
25,full,0.0109,0.9977,1.5575,0.6653,0.6635
26,full,0.0158,0.9957,1.5580,0.6801,0.6789
27,full,0.0091,0.9974,1.5843,0.6720,0.6725
