epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,5.8595,0.2498,4.9471,0.2608,0.2585
1,head,4.5496,0.2947,4.1854,0.2957,0.2904
2,head,4.0033,0.3186,3.6757,0.3266,0.3210
3,full,2.1806,0.4654,1.1424,0.5793,0.5759
4,full,0.8023,0.6973,0.7039,0.7540,0.7511
5,full,0.4849,0.8302,0.6573,0.7581,0.7585
6,full,0.3284,0.8808,0.6122,0.8024,0.8030
7,full,0.2437,0.9115,0.5547,0.8226,0.8245
8,full,0.1818,0.9380,0.6297,0.8320,0.8325
9,full,0.1464,0.9457,0.6619,0.8306,0.8314
10,full,0.1377,0.9531,0.6024,0.8562,0.8553
11,full,0.1280,0.9568,0.7197,0.8387,0.8396
12,full,0.0863,0.9690,0.7003,0.8185,0.8197
13,full,0.0952,0.9664,0.6981,0.8414,0.8418
14,full,0.0818,0.9738,0.6385,0.8575,0.8563
15,full,0.0757,0.9750,0.6281,0.8495,0.8505
16,full,0.0752,0.9764,0.5482,0.8629,0.8629
17,full,0.0668,0.9778,0.5783,0.8629,0.8630
18,full,0.0603,0.9792,0.6214,0.8629,0.8642
19,full,0.0594,0.9775,0.5991,0.8642,0.8644
20,full,0.0619,0.9807,0.5628,0.8642,0.8649
21,full,0.0472,0.9858,0.7695,0.8589,0.8581
22,full,0.0534,0.9832,0.6988,0.8401,0.8403
23,full,0.0521,0.9826,0.7005,0.8508,0.8495
24,full,0.0397,0.9872,0.7943,0.8548,0.8557
25,full,0.0436,0.9866,0.6492,0.8548,0.8553
26,full,0.0370,0.9881,0.8370,0.8441,0.8458
