epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,5.9054,0.2481,4.8315,0.3132,0.3107
1,head,4.5450,0.2999,4.0663,0.3226,0.3205
2,head,3.8962,0.3408,3.7790,0.3360,0.3322
3,full,2.2527,0.4691,1.1070,0.6250,0.6254
4,full,0.8204,0.6919,0.6467,0.7715,0.7719
5,full,0.5064,0.8134,0.5977,0.8105,0.8096
6,full,0.3226,0.8890,0.6251,0.8051,0.8051
7,full,0.2464,0.9183,0.6519,0.8293,0.8297
8,full,0.1911,0.9300,0.5730,0.8333,0.8338
9,full,0.1579,0.9454,0.6876,0.8185,0.8188
10,full,0.1291,0.9536,0.6806,0.8172,0.8151
11,full,0.1229,0.9605,0.5625,0.8347,0.8348
12,full,0.1124,0.9633,0.5797,0.8495,0.8501
13,full,0.0923,0.9690,0.6781,0.8427,0.8415
14,full,0.0790,0.9724,0.6350,0.8454,0.8459
15,full,0.0832,0.9724,0.4916,0.8763,0.8760
16,full,0.0644,0.9787,0.6217,0.8360,0.8362
17,full,0.0654,0.9795,0.6207,0.8548,0.8545
18,full,0.0500,0.9841,0.5931,0.8602,0.8603
19,full,0.0564,0.9804,0.5480,0.8669,0.8669
20,full,0.0585,0.9804,0.5663,0.8683,0.8691
21,full,0.0525,0.9821,0.5483,0.8656,0.8652
