epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,1.5267,0.3209,1.4124,0.4153,0.4087
1,head,1.4093,0.4054,1.3574,0.4435,0.4366
2,head,1.3539,0.4461,1.3556,0.4382,0.4228
3,full,1.2345,0.4802,0.9440,0.6237,0.6256
4,full,0.6998,0.7411,0.7348,0.7231,0.7254
5,full,0.3685,0.8615,0.7014,0.7594,0.7587
6,full,0.2601,0.9095,0.7913,0.7433,0.7410
7,full,0.1713,0.9403,0.7976,0.7876,0.7869
8,full,0.1314,0.9559,1.2551,0.6801,0.6764
9,full,0.1195,0.9587,0.8876,0.7809,0.7791
10,full,0.0849,0.9710,0.9027,0.7823,0.7824
11,full,0.1074,0.9624,0.8615,0.7809,0.7789
12,full,0.0885,0.9716,1.1437,0.7863,0.7856
13,full,0.0739,0.9733,0.8212,0.8118,0.8104
14,full,0.0808,0.9696,0.7715,0.7876,0.7870
15,full,0.0687,0.9761,0.9365,0.7742,0.7702
16,full,0.0631,0.9798,0.8293,0.7876,0.7891
17,full,0.0658,0.9772,0.8863,0.7661,0.7677
18,full,0.0597,0.9801,1.0812,0.7688,0.7701
19,full,0.0593,0.9818,1.1873,0.7567,0.7593
