epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,3.0995,0.2256,2.8592,0.2352,0.2287
1,head,2.3991,0.2725,2.4299,0.2728,0.2673
2,head,2.1441,0.2930,2.1856,0.3091,0.3065
3,full,1.7897,0.3912,1.4359,0.4583,0.4283
4,full,1.1863,0.5579,1.2693,0.5121,0.5047
5,full,0.9256,0.6586,0.9547,0.6304,0.6304
6,full,0.7190,0.7383,0.9273,0.6841,0.6800
7,full,0.5940,0.7818,1.0125,0.6747,0.6780
8,full,0.4922,0.8216,0.8965,0.6895,0.6956
9,full,0.4278,0.8447,0.7545,0.7460,0.7458
10,full,0.3847,0.8615,0.8843,0.7312,0.7262
11,full,0.3137,0.8908,0.8192,0.7339,0.7321
12,full,0.3166,0.8845,0.7607,0.7608,0.7632
13,full,0.2622,0.9075,0.9870,0.7312,0.7354
14,full,0.2408,0.9147,0.7775,0.7782,0.7786
15,full,0.1947,0.9283,0.9289,0.7688,0.7677
16,full,0.2020,0.9277,0.8690,0.7742,0.7749
17,full,0.1923,0.9334,0.8778,0.7782,0.7716
18,full,0.1968,0.9329,0.9254,0.7487,0.7463
19,full,0.1834,0.9380,1.7637,0.6331,0.6121
20,full,0.1675,0.9383,0.9510,0.7648,0.7664
